rank,symbol,vol40d,volAnnual,avgQuoteVol40d
1,PIPPINUSDT,0.67963983,4.90767994,706173465.14
2,BEATUSDT,0.63828420,4.60905091,503982967.28
3,RIVERUSDT,0.46519920,3.35920396,175240257.23
4,PIEVERSEUSDT,0.40580076,2.93028771,191178100.22
5,LIGHTUSDT,0.35378596,2.55468878,312265549.62
6,BUSDT,0.27674953,1.99840865,14032112.79
7,USELESSUSDT,0.24790663,1.79013408,26472327.75
8,ZECUSDT,0.20087174,1.45049505,1842679054.19
9,MONUSDT,0.19184151,1.38528777,179929500.83
10,SAPIENUSDT,0.19109470,1.37989506,50606923.09
